-2.6123931774,53.2884402101,-1.8842384372,53.684816645
-124.1046108489,32.9360225884,-115.0127710862,39.5499319149
-85.0698183268,24.4785709092,-79.7192190378,30.6713923557
133.4730840219,32.3518727846,143.6722221578,40.1930106016
96.9389459634,-5.244654621,104.5753072505,0.8439836885
34.9513892226,31.5832704744,35.3350081437,31.7176740091
35.8281699879,13.419660557,42.1083474843,17.7578259401
48.5357412076,7.3291338741,50.5963725505,9.1375886392
147.9452042332,-6.5304930141,153.5866837254,-3.6819630777

